time_th,open,high,low,close,tick_volume,tr,atr14,range,body,upper_wick,lower_wick,close_pos,swing_high,swing_low,structure_event,bos_up,bos_dn,choch_up,choch_dn,ema20,ema50,pmh,pml,pmc,sweep_prev_high,sweep_prev_low
2024-02-04T07:00:00+0700,1.07825,1.07943,1.07222,1.07821,204548,0.007209999999999939,0.014741428571428572,0.007209999999999939,4.0000000000040004e-05,0.0011799999999999589,0.00598999999999994,0.8307905686546451,0,0,,0,0,0,0,1.083593275868443,1.0789949695052108,1.09991,1.07795,1.07834,0,1
2024-02-11T07:00:00+0700,1.07723,1.08051,1.06945,1.07738,189792,0.01106000000000007,0.014816428571428572,0.01106000000000007,0.0001500000000000945,0.003130000000000077,0.007779999999999898,0.7169981916817308,0,1,,0,0,0,0,1.0830015353095437,1.0789316373677516,1.09991,1.07795,1.07834,0,0
2024-02-18T07:00:00+0700,1.07689,1.08878,1.07611,1.08169,181850,0.012670000000000181,0.013945714285714292,0.012670000000000181,0.0048000000000001375,0.007090000000000041,0.0007800000000000029,0.4404104183109756,0,0,,0,0,0,0,1.0828766271848251,1.0790398084513693,1.09991,1.07795,1.07834,0,1
2024-02-25T07:00:00+0700,1.08284,1.08654,1.07945,1.08365,181981,0.007090000000000041,0.013647142857142858,0.007090000000000041,0.0008099999999999774,0.002890000000000059,0.003390000000000004,0.5923836389280617,0,0,,0,0,0,0,1.0829502817386514,1.0792206002768059,1.09991,1.07795,1.07834,0,0
2024-03-03T07:00:00+0700,1.0839,1.09807,1.08324,1.09349,179857,0.01483000000000012,0.013360714285714297,0.01483000000000012,0.009589999999999987,0.0045800000000000285,0.000660000000000105,0.6911665542818617,1,0,,0,0,0,0,1.0839540644302084,1.0797801845796764,1.08878,1.06945,1.08365,0,0
2024-03-10T07:00:00+0700,1.09413,1.09633,1.08725,1.08878,169501,0.009079999999999977,0.012788571428571436,0.009079999999999977,0.005349999999999966,0.0021999999999999797,0.0015300000000000313,0.1685022026431757,0,0,,0,0,0,0,1.084413677341617,1.0801331185177283,1.08878,1.06945,1.08365,0,0
2024-03-17T07:00:00+0700,1.08896,1.0942,1.08013,1.08051,167603,0.014070000000000027,0.011882142857142857,0.014070000000000027,0.008449999999999847,0.0052400000000001334,0.00038000000000004697,0.027007818052597457,0,0,,0,0,0,0,1.0840418985471774,1.0801478981836998,1.08878,1.06945,1.08365,1,0
2024-03-24T07:00:00+0700,1.08047,1.08639,1.07675,1.07898,147814,0.009639999999999871,0.011508571428571424,0.009639999999999871,0.0014899999999999913,0.005919999999999925,0.0022299999999999542,0.23132780082987386,0,0,,0,0,0,0,1.0835598129712558,1.0801020982549274,1.08878,1.06945,1.08365,0,0
2024-03-31T07:00:00+0700,1.07825,1.08761,1.07242,1.08336,163202,0.015190000000000037,0.011603571428571427,0.015190000000000037,0.00511000000000017,0.004249999999999865,0.005830000000000002,0.7202106649111353,0,0,,0,0,0,0,1.0835407831644694,1.0802298591076753,1.08878,1.06945,1.08365,0,0
2024-04-07T07:00:00+0700,1.0833,1.08846,1.06221,1.06375,184151,0.026249999999999885,0.012283571428571425,0.026249999999999885,0.019549999999999956,0.005160000000000053,0.0015399999999998748,0.058666666666662155,1,0,BOS_DN,0,1,0,0,1.0816559466726152,1.0795835901230606,1.09807,1.07242,1.08336,0,0
2024-04-14T07:00:00+0700,1.063,1.06895,1.06007,1.06519,233591,0.008879999999999999,0.012282142857142861,0.008879999999999999,0.0021900000000001363,0.0037599999999999856,0.002929999999999877,0.5765765765765781,0,1,,0,0,0,0,1.0800877612752233,1.0790191356084309,1.09807,1.07242,1.08336,0,0
2024-04-21T07:00:00+0700,1.06474,1.07524,1.06235,1.06918,185065,0.012890000000000068,0.012325000000000015,0.012890000000000068,0.0044399999999999995,0.006059999999999954,0.0023900000000001143,0.5298681148176941,0,0,,0,0,0,0,1.0790489268680592,1.0786332871531985,1.09807,1.07242,1.08336,0,0
2024-04-28T07:00:00+0700,1.06873,1.08115,1.0648900000000001,1.07596,210666,0.01625999999999994,0.01263357142857145,0.01625999999999994,0.00723000000000007,0.005190000000000028,0.0038399999999998435,0.6808118081180783,0,0,,0,0,0,0,1.0787547433568154,1.078528452362877,1.09807,1.07242,1.08336,0,1
2024-05-05T07:00:00+0700,1.07582,1.07903,1.07235,1.07681,140730,0.006680000000000019,0.012271428571428584,0.006680000000000019,0.0009900000000000464,0.0022199999999998887,0.003470000000000084,0.6676646706587003,0,0,,0,0,0,0,1.0785695297037854,1.0784610620741368,1.08846,1.06007,1.07596,0,0
2024-05-12T07:00:00+0700,1.07672,1.08945,1.07653,1.08663,148284,0.012920000000000043,0.012679285714285735,0.012920000000000043,0.009910000000000085,0.0028200000000000447,0.00018999999999991246,0.7817337461300282,1,0,,0,0,0,0,1.0793371935415201,1.0787814125810335,1.08846,1.06007,1.07596,1,0
2024-05-19T07:00:00+0700,1.08649,1.0884,1.08044,1.08455,152587,0.007959999999999967,0.012457857142857156,0.007959999999999967,0.0019400000000000528,0.0019100000000000783,0.004109999999999836,0.5163316582914388,0,0,,0,0,0,0,1.0798336512994706,1.0790076316955028,1.08846,1.06007,1.07596,0,0
2024-05-26T07:00:00+0700,1.08429,1.08885,1.07878,1.08449,159188,0.010070000000000023,0.012272142857142858,0.010070000000000023,0.00019999999999997797,0.0043600000000001415,0.005509999999999904,0.5670307845084278,0,0,,0,0,0,0,1.0802771130804734,1.0792226265309735,1.08846,1.06007,1.07596,1,0
2024-06-02T07:00:00+0700,1.08437,1.09155,1.07992,1.08001,183757,0.01163000000000003,0.012596428571428573,0.01163000000000003,0.0043600000000001415,0.007179999999999964,8.999999999992347e-05,0.007738607050724269,1,0,,0,0,0,0,1.0802516737394758,1.0792535039219155,1.08945,1.07235,1.08449,1,0
2024-06-09T07:00:00+0700,1.07713,1.08518,1.06671,1.07013,199114,0.018469999999999986,0.012856428571428562,0.018469999999999986,0.006999999999999895,0.008050000000000113,0.0034199999999999786,0.18516513264753554,0,0,,0,0,0,0,1.0792877048119067,1.0788957194543896,1.08945,1.07235,1.08449,0,0
2024-06-16T07:00:00+0700,1.07022,1.0761,1.06706,1.06911,167628,0.009040000000000159,0.012853571428571433,0.009040000000000159,0.0011099999999999444,0.005880000000000107,0.0020500000000001073,0.22676991150443265,0,0,,0,0,0,0,1.0783183995917252,1.078511965750296,1.08945,1.07235,1.08449,0,0
2024-06-23T07:00:00+0700,1.06799,1.07459,1.06656,1.07104,176258,0.008029999999999982,0.012422142857142857,0.008029999999999982,0.003049999999999997,0.003549999999999942,0.0014300000000000423,0.5579078455790847,0,1,,0,0,0,0,1.0776252186782276,1.0782189474855786,1.08945,1.07235,1.08449,0,0
2024-06-30T07:00:00+0700,1.07426,1.08421,1.07095,1.08349,160684,0.013259999999999827,0.012680714285714283,0.013259999999999827,0.009230000000000071,0.0007199999999998319,0.003309999999999924,0.9457013574660753,0,0,,0,0,0,0,1.0781837692803011,1.0784256554273206,1.08945,1.07235,1.08449,0,1
2024-07-07T07:00:00+0700,1.07999,1.09109,1.07999,1.09049,174052,0.011099999999999888,0.012388571428571415,0.011099999999999888,0.010499999999999954,0.0005999999999999339,0.0,0.9459459459459514,0,0,,0,0,0,0,1.0793557912536058,1.0788987669791905,1.09155,1.06656,1.08349,0,0
2024-07-14T07:00:00+0700,1.08832,1.09476,1.08711,1.08794,176661,0.007649999999999935,0.01105999999999999,0.007649999999999935,0.00038000000000004697,0.006440000000000001,0.0008299999999998864,0.10849673202612986,1,0,,0,0,0,0,1.0801733349437386,1.0792533251368694,1.09155,1.06656,1.08349,1,0
