time_utc,open,high,low,close,tick_volume,spread,real_volume
2025-09-16T00:00:00Z,1.17605,1.1877900000000001,1.17569,1.1865700000000001,46784,10,0
2025-09-17T00:00:00Z,1.18652,1.1918,1.1807400000000001,1.18121,46889,10,0
2025-09-18T00:00:00Z,1.181,1.18478,1.17497,1.17847,51207,10,0
2025-09-19T00:00:00Z,1.17822,1.1792,1.17283,1.17427,46232,10,0
2025-09-22T00:00:00Z,1.17379,1.18023,1.17256,1.18008,36067,10,0
2025-09-23T00:00:00Z,1.17937,1.1819600000000001,1.17777,1.18132,41796,10,0
2025-09-24T00:00:00Z,1.18113,1.18185,1.17276,1.1737,41461,10,0
2025-09-25T00:00:00Z,1.17367,1.17535,1.16451,1.16642,44746,10,0
2025-09-26T00:00:00Z,1.16564,1.1706699999999999,1.16564,1.16986,41960,10,0
2025-09-29T00:00:00Z,1.16975,1.1754,1.16975,1.17256,37245,10,0
2025-09-30T00:00:00Z,1.17233,1.1761,1.17117,1.17324,41193,10,0
2025-10-01T00:00:00Z,1.17319,1.17782,1.17151,1.17294,49831,10,0
2025-10-02T00:00:00Z,1.17275,1.17577,1.16827,1.17148,39029,10,0
2025-10-03T00:00:00Z,1.1713,1.17586,1.17129,1.1740599999999999,35783,10,0
2025-10-06T00:00:00Z,1.1718600000000001,1.17303,1.16514,1.17111,46613,10,0
2025-10-07T00:00:00Z,1.17062,1.17141,1.16472,1.16564,39023,10,0
2025-10-08T00:00:00Z,1.16564,1.16607,1.1598,1.16272,43074,10,0
2025-10-09T00:00:00Z,1.16226,1.16476,1.15416,1.15629,50286,10,0
2025-10-10T00:00:00Z,1.15527,1.1630099999999999,1.15527,1.16173,47388,10,0
2025-10-13T00:00:00Z,1.16106,1.16293,1.15571,1.1569,43319,10,0
2025-10-14T00:00:00Z,1.15668,1.16143,1.15419,1.16066,53082,10,0
2025-10-15T00:00:00Z,1.16048,1.16472,1.16013,1.16458,43536,10,0
2025-10-16T00:00:00Z,1.16419,1.16936,1.16406,1.16861,49328,10,0
2025-10-17T00:00:00Z,1.16821,1.17279,1.16491,1.16492,50769,10,0
2025-10-20T00:00:00Z,1.16621,1.1675,1.16378,1.16397,37262,10,0
2025-10-21T00:00:00Z,1.16397,1.16547,1.15973,1.15982,43303,10,0
2025-10-22T00:00:00Z,1.15982,1.1622,1.15764,1.1608100000000001,37917,10,0
2025-10-23T00:00:00Z,1.16072,1.16196,1.1585,1.16166,31264,10,0
2025-10-24T00:00:00Z,1.1614,1.16475,1.16004,1.16248,36396,10,0
2025-10-27T00:00:00Z,1.16339,1.16516,1.16172,1.16428,31915,10,0
2025-10-28T00:00:00Z,1.16429,1.16683,1.16251,1.16506,35539,10,0
2025-10-29T00:00:00Z,1.16496,1.16655,1.15772,1.15994,44610,10,0
2025-10-30T00:00:00Z,1.15997,1.16369,1.15466,1.15635,44710,10,0
2025-10-31T00:00:00Z,1.15632,1.15771,1.15211,1.15347,35246,10,0
2025-11-03T00:00:00Z,1.15293,1.15408,1.1504699999999999,1.15176,33246,1,0
2025-11-04T00:00:00Z,1.15164,1.15331,1.14727,1.14812,34202,10,0
2025-11-05T00:00:00Z,1.14808,1.14975,1.14685,1.1491500000000001,32760,10,0
2025-11-06T00:00:00Z,1.149,1.15518,1.14889,1.15459,33481,10,0
2025-11-07T00:00:00Z,1.15414,1.15906,1.1529099999999999,1.15637,33147,10,0
2025-11-10T00:00:00Z,1.15542,1.15825,1.15408,1.1556,33230,10,0
2025-11-11T00:00:00Z,1.15526,1.16053,1.15467,1.15808,31329,10,0
2025-11-12T00:00:00Z,1.15831,1.15973,1.15626,1.15916,30887,10,0
2025-11-13T00:00:00Z,1.15907,1.16556,1.15785,1.16328,38524,10,0
2025-11-14T00:00:00Z,1.1629,1.16534,1.16058,1.16196,43201,10,0
2025-11-17T00:00:00Z,1.16121,1.1623999999999999,1.15814,1.1590799999999999,31291,10,0
2025-11-18T00:00:00Z,1.15888,1.16074,1.15711,1.15791,36155,10,0
